"section","clock","slack_ns","endpoint_tns_ns"
"Slow 1100mV 85C Model Setup Summary","sopc_clk","-0.313","-3.835"
"Slow 1100mV 85C Model Setup Summary","altera_reserved_tck","23.3","0"
"Slow 1100mV 85C Model Hold Summary","sopc_clk","-0.158","-1.245"
"Slow 1100mV 85C Model Hold Summary","altera_reserved_tck","0.264","0"
"Slow 1100mV 85C Model Hold Summary","sopc_clk","13.578","0"
"Slow 1100mV 85C Model Hold Summary","altera_reserved_tck","48.084","0"
"Slow 1100mV 85C Model Hold Summary","sopc_clk","0.787","0"
"Slow 1100mV 85C Model Hold Summary","altera_reserved_tck","0.923","0"
"Slow 1100mV 85C Model Hold Summary","sopc_clk","8.869","0"
"Slow 1100mV 85C Model Hold Summary","altera_reserved_tck","48.845","0"
"Slow 1100mV 0C Model Setup Summary","sopc_clk","-0.513","-8.934"
"Slow 1100mV 0C Model Setup Summary","altera_reserved_tck","23.44","0"
"Slow 1100mV 0C Model Hold Summary","sopc_clk","-0.207","-1.643"
"Slow 1100mV 0C Model Hold Summary","altera_reserved_tck","0.271","0"
"Slow 1100mV 0C Model Hold Summary","sopc_clk","13.853","0"
"Slow 1100mV 0C Model Hold Summary","altera_reserved_tck","48.185","0"
"Slow 1100mV 0C Model Hold Summary","sopc_clk","0.728","0"
"Slow 1100mV 0C Model Hold Summary","altera_reserved_tck","0.86","0"
"Slow 1100mV 0C Model Hold Summary","sopc_clk","8.902","0"
"Slow 1100mV 0C Model Hold Summary","altera_reserved_tck","48.836","0"
"Fast 1100mV 85C Model Setup Summary","sopc_clk","7.441","0"
"Fast 1100mV 85C Model Setup Summary","altera_reserved_tck","25.357","0"
"Fast 1100mV 85C Model Hold Summary","sopc_clk","-0.121","-0.968"
"Fast 1100mV 85C Model Hold Summary","altera_reserved_tck","0.134","0"
"Fast 1100mV 85C Model Hold Summary","sopc_clk","15.435","0"
"Fast 1100mV 85C Model Hold Summary","altera_reserved_tck","49.204","0"
"Fast 1100mV 85C Model Hold Summary","altera_reserved_tck","0.424","0"
"Fast 1100mV 85C Model Hold Summary","sopc_clk","0.452","0"
"Fast 1100mV 85C Model Hold Summary","sopc_clk","8.479","0"
"Fast 1100mV 85C Model Hold Summary","altera_reserved_tck","48.758","0"
"Fast 1100mV 0C Model Setup Summary","sopc_clk","7.604","0"
"Fast 1100mV 0C Model Setup Summary","altera_reserved_tck","25.535","0"
"Fast 1100mV 0C Model Hold Summary","sopc_clk","-0.141","-1.12"
"Fast 1100mV 0C Model Hold Summary","altera_reserved_tck","0.104","0"
"Fast 1100mV 0C Model Hold Summary","sopc_clk","16.024","0"
"Fast 1100mV 0C Model Hold Summary","altera_reserved_tck","49.392","0"
"Fast 1100mV 0C Model Hold Summary","altera_reserved_tck","0.368","0"
"Fast 1100mV 0C Model Hold Summary","sopc_clk","0.396","0"
"Fast 1100mV 0C Model Hold Summary","sopc_clk","8.433","0"
"Fast 1100mV 0C Model Hold Summary","altera_reserved_tck","48.748","0"
